using device: cpu
Loading pretrained GPT-2 model: gpt2
loaded 338025 tokens
1 epoch = 165 batches
Using OneCycleLR scheduler with max_lr=0.0007 and total_steps=20000
step 0, loss: 4.9285, current_lr: 0.000028
Saved best model with loss: 4.9285 to fine_tuned_gpt2\gpt2_finetuned_best_loss_4.9285.pt
step 1, loss: 4.4606, current_lr: 0.000028
Saved best model with loss: 4.4606 to fine_tuned_gpt2\gpt2_finetuned_best_loss_4.4606.pt
step 2, loss: 4.0646, current_lr: 0.000028
Saved best model with loss: 4.0646 to fine_tuned_gpt2\gpt2_finetuned_best_loss_4.0646.pt
step 3, loss: 4.3851, current_lr: 0.000028
step 4, loss: 4.3394, current_lr: 0.000028
step 5, loss: 4.1568, current_lr: 0.000028
step 6, loss: 4.1171, current_lr: 0.000028
step 7, loss: 4.1457, current_lr: 0.000028
step 8, loss: 3.8273, current_lr: 0.000028
Saved best model with loss: 3.8273 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.8273.pt
step 9, loss: 3.9955, current_lr: 0.000028
step 10, loss: 3.9946, current_lr: 0.000028
step 11, loss: 3.5211, current_lr: 0.000028
Saved best model with loss: 3.5211 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.5211.pt
step 12, loss: 3.9006, current_lr: 0.000028
step 13, loss: 3.8258, current_lr: 0.000028
step 14, loss: 3.8449, current_lr: 0.000028
step 15, loss: 3.5076, current_lr: 0.000028
Saved best model with loss: 3.5076 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.5076.pt
step 16, loss: 3.7530, current_lr: 0.000028
step 17, loss: 3.7007, current_lr: 0.000028
step 18, loss: 3.8214, current_lr: 0.000028
step 19, loss: 3.7428, current_lr: 0.000028
step 20, loss: 4.0523, current_lr: 0.000028
step 21, loss: 3.8357, current_lr: 0.000028
step 22, loss: 3.8522, current_lr: 0.000028
step 23, loss: 3.9134, current_lr: 0.000028
step 24, loss: 3.6694, current_lr: 0.000028
step 25, loss: 3.5051, current_lr: 0.000028
Saved best model with loss: 3.5051 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.5051.pt
step 26, loss: 3.8200, current_lr: 0.000028
step 27, loss: 3.8112, current_lr: 0.000028
step 28, loss: 3.8489, current_lr: 0.000028
step 29, loss: 3.3721, current_lr: 0.000028
Saved best model with loss: 3.3721 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.3721.pt
step 30, loss: 3.7661, current_lr: 0.000028
step 31, loss: 3.7904, current_lr: 0.000028
step 32, loss: 3.5456, current_lr: 0.000028
step 33, loss: 3.3806, current_lr: 0.000028
step 34, loss: 3.6107, current_lr: 0.000028
step 35, loss: 3.5519, current_lr: 0.000028
step 36, loss: 3.9313, current_lr: 0.000028
step 37, loss: 3.8784, current_lr: 0.000028
step 38, loss: 3.7909, current_lr: 0.000028
step 39, loss: 3.4273, current_lr: 0.000028
step 40, loss: 4.0313, current_lr: 0.000028
step 41, loss: 3.5450, current_lr: 0.000028
step 42, loss: 3.3735, current_lr: 0.000028
step 43, loss: 3.4538, current_lr: 0.000028
step 44, loss: 3.8303, current_lr: 0.000028
step 45, loss: 3.7364, current_lr: 0.000028
step 46, loss: 3.7734, current_lr: 0.000028
step 47, loss: 4.1469, current_lr: 0.000028
step 48, loss: 3.9950, current_lr: 0.000028
step 49, loss: 4.0320, current_lr: 0.000028
step 50, loss: 3.9914, current_lr: 0.000028
step 51, loss: 4.0522, current_lr: 0.000028
step 52, loss: 3.9408, current_lr: 0.000028
step 53, loss: 3.6930, current_lr: 0.000028
step 54, loss: 3.8109, current_lr: 0.000028
step 55, loss: 4.0477, current_lr: 0.000028
step 56, loss: 3.9560, current_lr: 0.000028
step 57, loss: 3.8179, current_lr: 0.000028
step 58, loss: 3.8375, current_lr: 0.000028
step 59, loss: 3.7855, current_lr: 0.000028
step 60, loss: 3.6592, current_lr: 0.000028
step 61, loss: 3.7050, current_lr: 0.000028
step 62, loss: 3.3509, current_lr: 0.000028
Saved best model with loss: 3.3509 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.3509.pt
step 63, loss: 3.8139, current_lr: 0.000028
step 64, loss: 3.3901, current_lr: 0.000028
step 65, loss: 3.8421, current_lr: 0.000028
step 66, loss: 4.0219, current_lr: 0.000028
step 67, loss: 3.9386, current_lr: 0.000028
step 68, loss: 4.0974, current_lr: 0.000028
step 69, loss: 3.7924, current_lr: 0.000028
step 70, loss: 3.5735, current_lr: 0.000028
step 71, loss: 4.0797, current_lr: 0.000028
step 72, loss: 3.5122, current_lr: 0.000028
step 73, loss: 3.8025, current_lr: 0.000028
step 74, loss: 3.6451, current_lr: 0.000028
step 75, loss: 3.9181, current_lr: 0.000028
step 76, loss: 3.6841, current_lr: 0.000028
step 77, loss: 3.6696, current_lr: 0.000028
step 78, loss: 3.5078, current_lr: 0.000028
step 79, loss: 3.5267, current_lr: 0.000028
step 80, loss: 3.6676, current_lr: 0.000028
step 81, loss: 3.5871, current_lr: 0.000028
step 82, loss: 3.9570, current_lr: 0.000028
step 83, loss: 3.7610, current_lr: 0.000028
step 84, loss: 3.7454, current_lr: 0.000028
step 85, loss: 3.3397, current_lr: 0.000028
Saved best model with loss: 3.3397 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.3397.pt
step 86, loss: 3.3253, current_lr: 0.000028
Saved best model with loss: 3.3253 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.3253.pt
step 87, loss: 3.7141, current_lr: 0.000028
step 88, loss: 3.8626, current_lr: 0.000028
step 89, loss: 3.9640, current_lr: 0.000028
step 90, loss: 3.6068, current_lr: 0.000028
step 91, loss: 3.8788, current_lr: 0.000028
step 92, loss: 3.8226, current_lr: 0.000028
step 93, loss: 3.5308, current_lr: 0.000028
step 94, loss: 3.0308, current_lr: 0.000028
Saved best model with loss: 3.0308 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.0308.pt
step 95, loss: 3.6709, current_lr: 0.000028
step 96, loss: 3.6094, current_lr: 0.000028
step 97, loss: 3.7062, current_lr: 0.000028
step 98, loss: 3.5230, current_lr: 0.000028
step 99, loss: 3.4624, current_lr: 0.000028
step 100, loss: 3.4790, current_lr: 0.000028
step 101, loss: 3.7808, current_lr: 0.000028
step 102, loss: 3.3708, current_lr: 0.000028
step 103, loss: 3.6789, current_lr: 0.000028
step 104, loss: 4.1509, current_lr: 0.000029
step 105, loss: 4.2369, current_lr: 0.000029
step 106, loss: 4.1452, current_lr: 0.000029
step 107, loss: 4.0376, current_lr: 0.000029
step 108, loss: 4.1068, current_lr: 0.000029
step 109, loss: 3.9167, current_lr: 0.000029
step 110, loss: 4.1111, current_lr: 0.000029
step 111, loss: 4.1689, current_lr: 0.000029
step 112, loss: 4.1243, current_lr: 0.000029
step 113, loss: 4.2035, current_lr: 0.000029
step 114, loss: 3.9710, current_lr: 0.000029
step 115, loss: 4.1723, current_lr: 0.000029
step 116, loss: 3.7742, current_lr: 0.000029
step 117, loss: 3.9851, current_lr: 0.000029
step 118, loss: 3.8877, current_lr: 0.000029
step 119, loss: 3.7701, current_lr: 0.000029
step 120, loss: 3.9832, current_lr: 0.000029
step 121, loss: 4.0545, current_lr: 0.000029
step 122, loss: 3.8928, current_lr: 0.000029
step 123, loss: 3.9911, current_lr: 0.000029
step 124, loss: 3.4634, current_lr: 0.000029
step 125, loss: 3.9610, current_lr: 0.000029
step 126, loss: 3.6393, current_lr: 0.000029
step 127, loss: 3.2794, current_lr: 0.000029
step 128, loss: 3.4800, current_lr: 0.000029
step 129, loss: 3.6198, current_lr: 0.000029
step 130, loss: 3.7376, current_lr: 0.000029
step 131, loss: 3.8231, current_lr: 0.000029
step 132, loss: 3.7869, current_lr: 0.000029
step 133, loss: 3.4127, current_lr: 0.000029
step 134, loss: 3.9168, current_lr: 0.000029
step 135, loss: 3.4220, current_lr: 0.000029
step 136, loss: 3.5626, current_lr: 0.000029
step 137, loss: 3.6122, current_lr: 0.000029
step 138, loss: 3.4596, current_lr: 0.000029
step 139, loss: 3.4893, current_lr: 0.000029
step 140, loss: 3.4452, current_lr: 0.000029
step 141, loss: 3.5974, current_lr: 0.000029
step 142, loss: 4.0493, current_lr: 0.000029
step 143, loss: 3.9201, current_lr: 0.000029
step 144, loss: 3.8923, current_lr: 0.000029
step 145, loss: 3.9007, current_lr: 0.000029
step 146, loss: 3.6738, current_lr: 0.000029
step 147, loss: 3.5985, current_lr: 0.000029
step 148, loss: 3.2442, current_lr: 0.000029
step 149, loss: 3.7863, current_lr: 0.000029
step 150, loss: 3.7987, current_lr: 0.000029
step 151, loss: 3.6950, current_lr: 0.000029
step 152, loss: 3.4631, current_lr: 0.000029
step 153, loss: 3.5591, current_lr: 0.000029
step 154, loss: 3.3320, current_lr: 0.000029
step 155, loss: 3.3373, current_lr: 0.000029
step 156, loss: 3.4074, current_lr: 0.000029
step 157, loss: 3.2863, current_lr: 0.000029
step 158, loss: 3.0607, current_lr: 0.000029
step 159, loss: 3.6223, current_lr: 0.000029
step 160, loss: 3.9134, current_lr: 0.000029
step 161, loss: 3.9584, current_lr: 0.000029
step 162, loss: 4.0652, current_lr: 0.000029
step 163, loss: 3.4931, current_lr: 0.000029
step 164, loss: 3.4717, current_lr: 0.000029
step 165, loss: 3.7151, current_lr: 0.000029
step 166, loss: 3.6518, current_lr: 0.000029
step 167, loss: 3.3791, current_lr: 0.000029
step 168, loss: 3.7161, current_lr: 0.000029
step 169, loss: 3.7333, current_lr: 0.000029
step 170, loss: 3.5829, current_lr: 0.000029
step 171, loss: 3.5607, current_lr: 0.000029
step 172, loss: 3.6760, current_lr: 0.000029
step 173, loss: 3.3784, current_lr: 0.000029
step 174, loss: 3.5214, current_lr: 0.000029
step 175, loss: 3.5144, current_lr: 0.000029
step 176, loss: 3.0656, current_lr: 0.000029
step 177, loss: 3.4792, current_lr: 0.000029
step 178, loss: 3.3972, current_lr: 0.000029
step 179, loss: 3.4573, current_lr: 0.000029
step 180, loss: 3.1520, current_lr: 0.000030
step 181, loss: 3.3793, current_lr: 0.000030
step 182, loss: 3.3249, current_lr: 0.000030
step 183, loss: 3.5107, current_lr: 0.000030
step 184, loss: 3.4595, current_lr: 0.000030
step 185, loss: 3.7230, current_lr: 0.000030
step 186, loss: 3.5211, current_lr: 0.000030
step 187, loss: 3.4830, current_lr: 0.000030
step 188, loss: 3.5540, current_lr: 0.000030
step 189, loss: 3.3248, current_lr: 0.000030
step 190, loss: 3.2000, current_lr: 0.000030
step 191, loss: 3.3983, current_lr: 0.000030
step 192, loss: 3.4356, current_lr: 0.000030
step 193, loss: 3.5009, current_lr: 0.000030
step 194, loss: 3.1138, current_lr: 0.000030
step 195, loss: 3.4543, current_lr: 0.000030
step 196, loss: 3.4298, current_lr: 0.000030
step 197, loss: 3.1542, current_lr: 0.000030
step 198, loss: 3.0556, current_lr: 0.000030
step 199, loss: 3.2827, current_lr: 0.000030
step 200, loss: 3.2286, current_lr: 0.000030
step 201, loss: 3.6327, current_lr: 0.000030
step 202, loss: 3.6031, current_lr: 0.000030
step 203, loss: 3.4705, current_lr: 0.000030
step 204, loss: 3.1088, current_lr: 0.000030
step 205, loss: 3.6862, current_lr: 0.000030
step 206, loss: 3.2103, current_lr: 0.000030
step 207, loss: 3.1044, current_lr: 0.000030
step 208, loss: 3.1615, current_lr: 0.000030
step 209, loss: 3.5486, current_lr: 0.000030
step 210, loss: 3.4628, current_lr: 0.000030
step 211, loss: 3.5028, current_lr: 0.000030
step 212, loss: 3.8474, current_lr: 0.000030
step 213, loss: 3.6808, current_lr: 0.000030
step 214, loss: 3.7366, current_lr: 0.000030
step 215, loss: 3.6919, current_lr: 0.000030
step 216, loss: 3.7983, current_lr: 0.000030
step 217, loss: 3.6638, current_lr: 0.000030
step 218, loss: 3.4079, current_lr: 0.000030
step 219, loss: 3.4575, current_lr: 0.000030
step 220, loss: 3.7876, current_lr: 0.000030
step 221, loss: 3.6701, current_lr: 0.000030
step 222, loss: 3.5741, current_lr: 0.000030
step 223, loss: 3.5837, current_lr: 0.000030
step 224, loss: 3.5088, current_lr: 0.000030
